date,site,replicate,concentration
11/2/2018,s4,a,0.05
11/2/2018,s4,b,0.05
11/2/2018,s4,c,0.053
11/2/2018,s5,a,0.07
11/2/2018,s5,b,0.065
11/2/2018,s5,c,0.066
11/2/2018,s6,a,0.135
11/2/2018,s6,b,0.127
11/2/2018,s6,c,0.129
11/2/2018,s7,a,0.121
11/2/2018,s7,b,0.114
11/2/2018,s7,c,0.131
11/2/2018,s8,a,0.12
11/2/2018,s8,b,0.124
11/2/2018,s8,c,0.114
11/2/2018,s9,a,0.049
11/2/2018,s9,b,0.046
11/2/2018,s9,c,0.051
11/2/2018,s10,a,0.058
11/2/2018,s10,b,0.057
11/2/2018,s10,c,0.059
11/2/2018,s11,a,0.057
11/2/2018,s11,b,0.057
11/2/2018,s11,c,0.057
11/2/2018,s12,a,0.049
11/2/2018,s12,b,0.047
11/2/2018,s12,c,0.047
11/2/2018,s13,a,0.027
11/2/2018,s13,b,0.027
11/2/2018,s13,c,0.027
12/7/2018,s1,a,0.097
12/7/2018,s1,b,0.104
12/7/2018,s1,c,0.073
12/7/2018,s2,a,0.086
12/7/2018,s2,b,0.078
12/7/2018,s2,c,0.079
12/7/2018,s3,a,0.276
12/7/2018,s3,b,0.234
12/7/2018,s3,c,0.237
12/7/2018,s4,a,0.291
12/7/2018,s4,b,0.249
12/7/2018,s4,c,0.263
12/7/2018,s5,a,0.303
12/7/2018,s5,b,0.244
12/7/2018,s5,c,0.234
12/7/2018,s6,a,0.334
12/7/2018,s6,b,0.309
12/7/2018,s6,c,0.341
12/7/2018,s7,a,0.397
12/7/2018,s7,b,0.367
12/7/2018,s7,c,0.332
12/7/2018,s8,a,0.346
12/7/2018,s8,b,0.376
12/7/2018,s8,c,0.348
12/7/2018,s9,a,0.253
12/7/2018,s9,b,0.216
12/7/2018,s9,c,0.231
12/7/2018,s10,a,0.147
12/7/2018,s10,b,0.148
12/7/2018,s10,c,0.135
12/7/2018,s11,a,0.122
12/7/2018,s11,b,0.141
12/7/2018,s11,c,0.113
12/7/2018,s12,a,0.085
12/7/2018,s12,b,0.081
12/7/2018,s12,c,0.105
12/7/2018,s13,a,0.051
12/7/2018,s13,b,0.045
12/7/2018,s13,c,0.047
1/10/2019,s1,a,0.095
1/10/2019,s1,b,0.115
1/10/2019,s1,c,0.078
1/10/2019,s2,a,0.078
1/10/2019,s2,b,0.102
1/10/2019,s2,c,0.093
1/10/2019,s3,a,0.213
1/10/2019,s3,b,0.227
1/10/2019,s3,c,0.212
1/10/2019,s4,a,0.29
1/10/2019,s4,b,0.269
1/10/2019,s4,c,0.247
1/10/2019,s5,a,0.318
1/10/2019,s5,b,0.288
1/10/2019,s5,c,0.314
1/10/2019,s6,a,0.369
1/10/2019,s6,b,0.455
1/10/2019,s6,c,0.365
1/10/2019,s7,a,0.407
1/10/2019,s7,b,0.376
1/10/2019,s7,c,0.37
1/10/2019,s8,a,0.387
1/10/2019,s8,b,0.357
1/10/2019,s8,c,0.416
1/10/2019,s9,a,0.301
1/10/2019,s9,b,0.307
1/10/2019,s9,c,0.302
1/10/2019,s10,a,0.229
1/10/2019,s10,b,0.232
1/10/2019,s10,c,0.242
1/10/2019,s11,a,0.182
1/10/2019,s11,b,0.199
1/10/2019,s11,c,0.173
1/10/2019,s12,a,0.123
1/10/2019,s12,b,0.143
1/10/2019,s12,c,0.146
1/10/2019,s13,a,0.056
1/10/2019,s13,b,0.055
1/10/2019,s13,c,0.054
2/20/2019,s1,a,0.261
2/20/2019,s1,b,0.203
2/20/2019,s1,c,0.222
2/20/2019,s2,a,0.216
2/20/2019,s2,b,0.175
2/20/2019,s2,c,0.206
2/20/2019,s3,a,0.366
2/20/2019,s3,b,0.341
2/20/2019,s3,c,0.34
2/20/2019,s4,a,0.366
2/20/2019,s4,b,0.34
2/20/2019,s4,c,0.339
2/20/2019,s5,a,0.362
2/20/2019,s5,b,0.378
2/20/2019,s5,c,0.358
2/20/2019,s6,a,0.422
2/20/2019,s6,b,0.375
2/20/2019,s6,c,0.423
2/20/2019,s10,a,0.281
2/20/2019,s10,b,0.258
2/20/2019,s10,c,0.249
2/20/2019,s11,a,0.246
2/20/2019,s11,b,0.292
2/20/2019,s11,c,0.258
2/20/2019,s12,a,0.177
2/20/2019,s12,b,0.193
2/20/2019,s12,c,0.204
3/12/2019,s1,a,0.264
3/12/2019,s1,b,0.311
3/12/2019,s1,c,0.282
3/12/2019,s2,a,0.281
3/12/2019,s2,b,0.263
3/12/2019,s2,c,0.265
3/12/2019,s3,a,0.262
3/12/2019,s3,b,0.311
3/12/2019,s3,c,0.362
3/12/2019,s6,a,0.465
3/12/2019,s6,b,0.455
3/12/2019,s6,c,0.481
3/12/2019,s10,a,0.323
3/12/2019,s10,b,0.272
3/12/2019,s10,c,0.29
3/12/2019,s11,a,0.243
3/12/2019,s11,b,0.218
3/12/2019,s11,c,0.24
3/12/2019,s12,a,0.199
3/12/2019,s12,b,0.185
3/12/2019,s12,c,0.18
4/18/2019,s1,a,0.174
4/18/2019,s1,b,0.188
4/18/2019,s1,c,0.191
4/18/2019,s2,a,0.207
4/18/2019,s2,b,0.219
4/18/2019,s2,c,0.216
4/18/2019,s3,a,0.247
4/18/2019,s3,b,0.263
4/18/2019,s3,c,0.229
4/18/2019,s4,a,0.242
4/18/2019,s4,b,0.245
4/18/2019,s4,c,0.246
4/18/2019,s5,a,0.238
4/18/2019,s5,b,0.257
4/18/2019,s5,c,0.248
4/18/2019,s6,a,0.31
4/18/2019,s6,b,0.314
4/18/2019,s6,c,0.266
4/18/2019,s7,a,0.285
4/18/2019,s7,b,0.275
4/18/2019,s7,c,0.266
4/18/2019,s8,a,0.34
4/18/2019,s8,b,0.277
4/18/2019,s8,c,0.279
4/18/2019,s9,a,0.183
4/18/2019,s9,b,0.205
4/18/2019,s9,c,0.164
4/18/2019,s10,a,0.192
4/18/2019,s10,b,0.208
4/18/2019,s10,c,0.168
4/18/2019,s11,a,0.207
4/18/2019,s11,b,0.186
4/18/2019,s11,c,0.208
4/18/2019,s12,a,0.162
4/18/2019,s12,b,0.164
4/18/2019,s12,c,0.163
4/18/2019,s13,a,0.117
4/18/2019,s13,b,0.112
4/18/2019,s13,c,0.113
5/16/2019,s1,a,0.046
5/16/2019,s1,b,0.05
5/16/2019,s1,c,0.055
5/16/2019,s2,a,0.057
5/16/2019,s2,b,0.064
5/16/2019,s2,c,0.063
5/16/2019,s3,a,0.071
5/16/2019,s3,b,0.072
5/16/2019,s3,c,0.073
5/16/2019,s4,a,0.081
5/16/2019,s4,b,0.096
5/16/2019,s4,c,0.102
5/16/2019,s5,a,0.095
5/16/2019,s5,b,0.107
5/16/2019,s5,c,0.101
5/16/2019,s6,a,0.122
5/16/2019,s6,b,0.115
5/16/2019,s6,c,0.132
5/16/2019,s7,a,0.15
5/16/2019,s7,b,0.117
5/16/2019,s7,c,0.115
5/16/2019,s8,a,0.113
5/16/2019,s8,b,0.14
5/16/2019,s8,c,0.114
5/16/2019,s9,a,0.092
5/16/2019,s9,b,0.092
5/16/2019,s9,c,0.093
5/16/2019,s10,a,0.065
5/16/2019,s10,b,0.077
5/16/2019,s10,c,0.067
5/16/2019,s11,a,0.076
5/16/2019,s11,b,0.064
5/16/2019,s11,c,0.06
5/16/2019,s12,a,0.06
5/16/2019,s12,b,0.067
5/16/2019,s12,c,0.061
5/16/2019,s13,a,0.064
5/16/2019,s13,b,0.085
5/16/2019,s13,c,0.069
5/30/2019,s1,a,0.049
5/30/2019,s1,b,0.05
5/30/2019,s1,c,0.052
5/30/2019,s2,a,0.053
5/30/2019,s2,b,0.044
5/30/2019,s2,c,0.045
5/30/2019,s3,a,0.055
5/30/2019,s3,b,0.045
5/30/2019,s3,c,0.056
5/30/2019,s4,a,0.06
5/30/2019,s4,b,0.054
5/30/2019,s4,c,0.059
5/30/2019,s5,a,0.043
5/30/2019,s5,b,0.053
5/30/2019,s5,c,0.051
5/30/2019,s6,a,0.083
5/30/2019,s6,b,0.073
5/30/2019,s6,c,0.08
5/30/2019,s7,a,0.089
5/30/2019,s7,b,0.082
5/30/2019,s7,c,0.097
5/30/2019,s8,a,0.078
5/30/2019,s8,b,0.083
5/30/2019,s8,c,0.096
5/30/2019,s9,a,0.052
5/30/2019,s9,b,0.05
5/30/2019,s9,c,0.041
5/30/2019,s10,a,0.055
5/30/2019,s10,b,0.053
5/30/2019,s10,c,0.043
5/30/2019,s11,a,0.054
5/30/2019,s11,b,0.054
5/30/2019,s11,c,0.053
5/30/2019,s12,a,0.046
5/30/2019,s12,b,0.042
5/30/2019,s12,c,0.04
5/30/2019,s13,a,0.041
5/30/2019,s13,b,0.041
5/30/2019,s13,c,0.042
