date,site,replicate,concentration
10/26/2017,s8,c,-0.004
10/26/2017,s9,a,-0.003
10/26/2017,s9,b,-0.003
10/26/2017,s9,c,-0.004
10/26/2017,s10,a,0
10/26/2017,s10,b,0.001
10/26/2017,s10,c,0.001
10/26/2017,s11,a,-0.003
10/26/2017,s11,b,-0.003
10/26/2017,s11,c,-0.004
10/26/2017,s12,a,0.001
10/26/2017,s12,b,0.001
10/26/2017,s12,c,0.003
11/16/2018,s1,a,0.016
11/16/2018,s1,b,0.017
11/16/2018,s1,c,0.017
11/16/2018,s2,a,0.001
11/16/2018,s2,b,0.003
11/16/2018,s2,c,0.001
11/16/2018,s3,a,0.072
11/16/2018,s3,b,0.086
11/16/2018,s3,c,0.1
11/16/2018,s4,a,0.055
11/16/2018,s4,b,0.043
11/16/2018,s4,c,0.045
11/16/2018,s5,a,0.06
11/16/2018,s5,b,0.057
11/16/2018,s5,c,0.056
11/16/2018,s6,a,0.104
11/16/2018,s6,b,0.114
11/16/2018,s6,c,0.104
11/16/2018,s7,a,0.112
11/16/2018,s7,b,0.11
11/16/2018,s7,c,0.085
11/16/2018,s8,a,0.093
11/16/2018,s8,b,0.072
11/16/2018,s8,c,0.084
11/16/2018,s9,a,0.001
11/16/2018,s9,b,0
11/16/2018,s9,c,0
11/16/2018,s10,a,0.005
11/16/2018,s10,b,0.015
11/16/2018,s10,c,0.005
11/16/2018,s11,a,0
11/16/2018,s11,b,0
11/16/2018,s11,c,-0.002
11/16/2018,s12,a,0.008
11/16/2018,s12,b,0.005
11/16/2018,s12,c,0.004
11/16/2018,s13,a,-0.002
11/16/2018,s13,b,-0.002
11/16/2018,s13,c,-0.002
12/15/2017,s1,a,0.045
12/15/2017,s1,b,0.049
12/15/2017,s1,c,0.039
12/15/2017,s2,a,0.013
12/15/2017,s2,b,0.011
12/15/2017,s2,c,0.012
12/15/2017,s3,a,0.117
12/15/2017,s3,b,0.138
12/15/2017,s3,c,0.151
12/15/2017,s4,a,0.196
12/15/2017,s4,b,0.129
12/15/2017,s4,c,0.205
12/15/2017,s5,a,0.239
12/15/2017,s5,b,0.189
12/15/2017,s5,c,0.158
12/15/2017,s6,a,0.264
12/15/2017,s6,b,0.226
12/15/2017,s6,c,0.194
12/15/2017,s7,a,0.249
12/15/2017,s7,b,0.243
12/15/2017,s7,c,0.24
12/15/2017,s8,a,0.332
12/15/2017,s8,b,0.282
12/15/2017,s8,c,0.264
12/15/2017,s9,a,0.135
12/15/2017,s9,b,0.138
12/15/2017,s9,c,0.145
12/15/2017,s10,a,0.088
12/15/2017,s10,b,0.068
12/15/2017,s10,c,0.089
12/15/2017,s11,a,0.046
12/15/2017,s11,b,0.041
12/15/2017,s11,c,0.059
12/15/2017,s12,a,0.045
12/15/2017,s12,b,0.045
12/15/2017,s12,c,0.05
12/15/2017,s13,a,0.02
12/15/2017,s13,b,0.021
12/15/2017,s13,c,0.022
1/25/2018,s1,a,0.043
1/25/2018,s1,b,0.032
1/25/2018,s1,c,0.039
1/25/2018,s2,a,0.008
1/25/2018,s2,b,0.012
1/25/2018,s2,c,0.013
1/25/2018,s3,a,0.116
1/25/2018,s3,b,0.121
1/25/2018,s3,c,0.126
1/25/2018,s4,a,0.122
1/25/2018,s4,b,0.101
1/25/2018,s4,c,0.101
1/25/2018,s5,a,0.142
1/25/2018,s5,b,0.122
1/25/2018,s5,c,0.166
1/25/2018,s6,a,0.203
1/25/2018,s6,b,0.257
1/25/2018,s6,c,0.201
1/25/2018,s7,a,0.228
1/25/2018,s7,b,0.25
1/25/2018,s7,c,0.225
1/25/2018,s8,a,0.237
1/25/2018,s8,b,0.201
1/25/2018,s8,c,0.213
1/25/2018,s9,a,0.164
1/25/2018,s9,b,0.156
1/25/2018,s9,c,0.164
1/25/2018,s10,a,0.126
1/25/2018,s10,b,0.127
1/25/2018,s10,c,0.153
1/25/2018,s11,a,0.11
1/25/2018,s11,b,0.114
1/25/2018,s11,c,0.132
1/25/2018,s12,a,0.081
1/25/2018,s12,b,0.086
1/25/2018,s12,c,0.078
1/25/2018,s13,a,0.037
1/25/2018,s13,b,0.032
1/25/2018,s13,c,0.033
2/23/2018,s1,a,0.088
2/23/2018,s1,b,0.089
2/23/2018,s1,c,0.096
2/23/2018,s2,a,0.068
2/23/2018,s2,b,0.075
2/23/2018,s2,c,0.067
2/23/2018,s3,a,0.235
2/23/2018,s3,b,0.19
2/23/2018,s3,c,0.17
2/23/2018,s4,a,0.241
2/23/2018,s4,b,0.229
2/23/2018,s4,c,0.254
2/23/2018,s5,a,0.138
2/23/2018,s5,b,0.271
2/23/2018,s5,c,0.23
2/23/2018,s6,a,0.302
2/23/2018,s6,b,0.365
2/23/2018,s6,c,0.385
2/23/2018,s7,a,0.326
2/23/2018,s7,b,0.399
2/23/2018,s7,c,0.35
2/23/2018,s8,a,0.341
2/23/2018,s8,b,0.331
2/23/2018,s8,c,0.365
2/23/2018,s9,a,0.215
2/23/2018,s9,b,0.183
2/23/2018,s9,c,0.169
2/23/2018,s10,a,0.156
2/23/2018,s10,b,0.17
2/23/2018,s10,c,0.199
2/23/2018,s11,a,0.159
2/23/2018,s11,b,0.163
2/23/2018,s11,c,0.159
2/23/2018,s12,a,0.137
2/23/2018,s12,b,0.142
2/23/2018,s12,c,0.151
2/23/2018,s13,a,0.068
2/23/2018,s13,b,0.075
2/23/2018,s13,c,0.067
3/23/2018,s1,a,0.136
3/23/2018,s1,b,0.165
